Description,Filename
"signal",results2024-07-26 13:16:24.625450.csv
"signal and PCA",results2024-07-26 13:25:30.233507.csv
"signal, PSD and PCA",results2024-07-26 13:26:59.877908.csv
"var, skewness, kurt, rms, entropy, PSD and PCA",results2024-07-26 13:29:20.486983.csv
"wavelet approximation",results2024-07-26 13:35:07.366494.csv
"whole wavelet",results2024-07-26 13:44:22.582807.csv
"signal and ICA",results2024-07-26 13:46:47.112663.csv
"signal, ICA and PCA",results2024-07-26 13:48:12.253091.csv
"signal, PSD, ICA and PCA",results2024-07-26 13:50:32.124638.csv
"wavelet approximation, PSD, ICA and PCA",results2024-07-26 13:54:56.654094.csv
"last level approximation + all details (except the nth level), PSD, ICA and PCA",results2024-07-29 14:14:31.364610.csv
"last level approximation + all details (except the nth level), PSD and PCA",results2024-07-29 19:00:28.426737.csv
"ELM Network",results2024-08-02 18:33:47.296095.csv
"Hidden Layer Perceptron 64",results2024-08-03 19:11:25.891215.csv
"Hidden Layer Perceptron 128",results2024-08-02 18:33:47.296095.csv
"Hidden Layer Perceptron 256",results2024-08-03 19:14:20.072913.csv
"HLP: 512, AF: relu",results2024-08-03 19:17:45.184594.csv
"HLP: 512, AF: tanh",results2024-08-03 19:33:45.976827.csv
"HLP: 512, AF: sigmoid",results2024-08-03 19:48:05.646084.csv
"HLP: 512, AF: leaky relu",results2024-08-03 19:59:30.818627.csv
