Datetime, Test Accuracy, F1, Precision, Recall
2024-07-19 12:04:42.905456, 94.76, 0.9475, 0.9476, 0.9476
2024-07-19 12:42:14.168076, 92.58, 0.9260, 0.9285, 0.9258
2024-07-19 12:48:04.539150, 92.14, 0.9210, 0.9218, 0.9214
2024-07-19 12:48:30.937231, 90.83, 0.9084, 0.9107, 0.9083
2024-07-19 12:48:59.346203, 92.58, 0.9254, 0.9278, 0.9258
2024-07-19 12:49:24.239222, 91.27, 0.9122, 0.9126, 0.9127
2024-07-19 12:49:50.644353, 93.89, 0.9386, 0.9395, 0.9389
2024-07-19 12:50:15.980441, 89.30, 0.8937, 0.8996, 0.8930
2024-07-19 12:50:40.084642, 93.45, 0.9346, 0.9382, 0.9345
2024-07-19 12:51:02.739333, 89.52, 0.8952, 0.8998, 0.8952
2024-07-19 12:51:28.867219, 92.14, 0.9205, 0.9221, 0.9214
2024-07-19 12:51:57.890495, 92.58, 0.9255, 0.9303, 0.9258
2024-07-19 12:55:23.926267, 90.83, 0.9082, 0.9201, 0.9083
2024-07-19 12:55:47.482790, 89.74, 0.8972, 0.9056, 0.8974
2024-07-19 12:56:13.699051, 91.70, 0.9171, 0.9200, 0.9170
2024-07-19 12:56:41.408470, 90.39, 0.9036, 0.9071, 0.9039
2024-07-19 12:57:45.650316, 91.48, 0.9152, 0.9209, 0.9148
2024-07-19 12:58:12.583786, 92.79, 0.9283, 0.9304, 0.9279
2024-07-19 12:58:38.098334, 92.36, 0.9232, 0.9262, 0.9236
2024-07-19 12:59:03.552048, 91.70, 0.9172, 0.9185, 0.9170
2024-07-19 12:59:26.188400, 92.14, 0.9212, 0.9289, 0.9214
2024-07-19 12:59:50.825249, 94.76, 0.9477, 0.9507, 0.9476
2024-07-19 13:00:12.828437, 91.70, 0.9177, 0.9215, 0.9170
2024-07-19 13:00:35.609106, 94.10, 0.9411, 0.9415, 0.9410
2024-07-19 13:00:57.247275, 93.67, 0.9370, 0.9411, 0.9367
2024-07-19 13:01:20.069113, 91.05, 0.9105, 0.9151, 0.9105
2024-07-19 13:20:15.826171, 93.45, 0.9349, 0.9419, 0.9345
2024-07-19 13:20:38.401889, 92.36, 0.9243, 0.9283, 0.9236
2024-07-19 13:21:01.769008, 92.14, 0.9213, 0.9260, 0.9214
2024-07-19 13:21:26.775322, 93.45, 0.9341, 0.9368, 0.9345
2024-07-19 13:21:49.902893, 91.92, 0.9193, 0.9262, 0.9192
2024-07-19 13:22:12.571374, 93.01, 0.9299, 0.9312, 0.9301
2024-07-19 13:22:35.121458, 93.67, 0.9370, 0.9410, 0.9367
2024-07-19 13:22:56.002037, 92.36, 0.9232, 0.9234, 0.9236
2024-07-19 13:23:17.783298, 90.39, 0.9031, 0.9089, 0.9039
2024-07-19 13:23:39.018703, 93.23, 0.9331, 0.9391, 0.9323
2024-07-19 13:26:32.180057, 92.36, 0.9232, 0.9241, 0.9236
2024-07-19 13:26:57.269905, 91.92, 0.9185, 0.9187, 0.9192
2024-07-19 13:27:20.657959, 93.89, 0.9388, 0.9388, 0.9389
2024-07-19 13:27:44.399635, 89.96, 0.8993, 0.9028, 0.8996
2024-07-19 13:28:07.195303, 87.99, 0.8798, 0.8810, 0.8799
2024-07-19 13:28:33.431421, 92.36, 0.9240, 0.9278, 0.9236
2024-07-19 13:28:58.745437, 89.30, 0.8927, 0.8951, 0.8930
2024-07-19 13:29:22.664131, 92.58, 0.9254, 0.9272, 0.9258
2024-07-19 13:29:45.317269, 93.23, 0.9319, 0.9340, 0.9323
2024-07-19 13:30:11.193340, 87.99, 0.8806, 0.8861, 0.8799
2024-07-19 13:35:05.079572, 93.01, 0.9296, 0.9347, 0.9301
2024-07-19 15:27:55.219972, 93.67, 0.9371, 0.9391, 0.9367
2024-07-19 15:28:36.781016, 93.89, 0.9390, 0.9405, 0.9389
2024-07-19 15:29:00.520961, 92.58, 0.9257, 0.9321, 0.9258
2024-07-19 15:29:22.254287, 91.70, 0.9176, 0.9261, 0.9170
2024-07-19 15:29:45.945241, 92.58, 0.9261, 0.9328, 0.9258
2024-07-19 15:30:13.852264, 91.70, 0.9170, 0.9200, 0.9170
2024-07-19 15:30:38.497257, 93.67, 0.9366, 0.9403, 0.9367
2024-07-19 15:31:04.939789, 93.89, 0.9389, 0.9447, 0.9389
2024-07-19 15:31:28.219864, 90.83, 0.9080, 0.9141, 0.9083
2024-07-19 15:31:54.792954, 92.14, 0.9214, 0.9224, 0.9214
2024-07-19 15:32:21.026172, 92.14, 0.9219, 0.9279, 0.9214
2024-07-19 16:56:06.936426, 95.20, 0.9525, 0.9547, 0.9520
2024-07-19 17:08:32.770520, 95.20, 0.9526, 0.9553, 0.9520
2024-07-19 17:08:58.873490, 93.45, 0.9355, 0.9410, 0.9345
2024-07-19 17:09:22.711514, 97.16, 0.9718, 0.9724, 0.9716
2024-07-19 17:09:48.390240, 94.10, 0.9417, 0.9444, 0.9410
2024-07-19 17:10:12.755525, 93.45, 0.9354, 0.9409, 0.9345
2024-07-19 17:10:37.616792, 95.63, 0.9568, 0.9587, 0.9563
2024-07-19 17:11:04.034703, 94.98, 0.9503, 0.9530, 0.9498
2024-07-19 17:11:30.382233, 95.41, 0.9547, 0.9592, 0.9541
2024-07-19 17:11:54.950755, 94.76, 0.9482, 0.9513, 0.9476
2024-07-19 17:12:20.195756, 96.94, 0.9697, 0.9714, 0.9694
